"","Codigo_nacional","Estación","Latitud","Longitud","Altura","Region","Macrozona","Comuna","Cuenca","Subcuenca"
"13","01020018-0","Chucuyo ex endesa DGA",-18.2181,-69.3214,4393,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"14","01021002-K","Rio guallatire en guallatire DGA",-18.4931,-69.1494,4249,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"15","01021007-0","Guallatire DGA",-18.4983,-69.1547,4241,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"16","01030003-7","Chilcaya DGA",-18.7939,-69.0844,4276,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Salar de Surire"
"17","01041003-7","Colchane t isluga DGA",-19.28,-68.64,3700,"Región de Tarapacá","Norte","Colchane","Altiplanicas","Entre Estero Sencata y Rio Sacaya"
"18","01041004-5","Enquelca ex caraguano DGA",-19.2289,-68.8044,3927,"Región de Tarapacá","Norte","Colchane","Altiplanicas","Entre Estero Sencata y Rio Sacaya"
"19","01042001-6","Cancosa DGA",-19.8553,-68.6017,3929,"Región de Tarapacá","Norte","Pica","Altiplanicas","Entre Estero Sencata y Rio Sacaya"
"20","01042002-4","Huaytani DGA",-20.0003,-68.5706,3957,"Región de Tarapacá","Norte","Pica","Altiplanicas","Entre Estero Sencata y Rio Sacaya"
"21","01044001-7","Rio cancosa en el tambo DGA",-19.8586,-68.5858,3930,"Región de Tarapacá","Norte","Pica","Altiplanicas","Entre Estero Sencata y Rio Sacaya"
"22","01050004-4","Rio collacagua en penablanca DGA",-20.1119,-68.8408,3854,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"23","01050007-9","Coyacagua DGA",-20.0531,-68.8075,4012,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"24","01050009-5","Diablo marca DGA",-20.1044,-68.9681,4581,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"25","01050010-9","Sillillica DGA",-20.3219,-68.8936,3836,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"26","01051003-1","Salar huasco DGA",-20.2761,-68.8861,3790,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"27","01051004-K","Altos del huasco DGA",-20.1703,-68.7703,4088,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"28","01080001-3","Ujina DGA",-20.9714,-68.6275,4284,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar de Michincha"
"29","01080002-1","Collahuasi DGA",-20.9961,-68.8019,4219,"Región de Tarapacá","Norte","Pica","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"30","01110001-5","Puquios DGA",-18.1747,-69.7439,3733,"Región de Arica y Parinacota","Norte","Arica","Quebrada de la Concordia","Quebrada De La Concordia"
"31","01200002-2","Villa industrial tacora DGA",-17.7719,-69.7244,4086,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"32","01200003-0","Humapalca DGA",-17.835,-69.7039,3986,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"33","01201003-6","Rio lluta en alcerreca DGA",-18.0036,-69.6331,3592,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"34","01201005-2","Rio caracarani en humapalca DGA",-17.8428,-69.6994,3985,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"35","01201010-9","Alcerreca DGA",-17.9931,-69.6594,3925,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"36","01201011-7","Meteorologica de colpitas DGA",-17.95,-69.45,4140,"Región de Arica y Parinacota","Norte","General Lagos","Rio Lluta","Rio Lluta Alto"
"37","01202009-0","Pacollo DGA",-18.1769,-69.5092,4185,"Región de Arica y Parinacota","Norte","Putre","Rio Lluta","Rio Lluta Alto"
"38","01202010-4","Putre DGA",-18.196949,-69.55374,3574,"Región de Arica y Parinacota","Norte","Putre","Rio Lluta","Rio Lluta Alto"
"39","01202011-2","Las cuevas conaf DGA",-18.2106,-69.5103,4049,"Región de Arica y Parinacota","Norte","Putre","Rio Lluta","Rio Lluta Alto"
"40","01202012-0","Putre dcp DGA",-18.2,-69.56,3560,"Región de Arica y Parinacota","Norte","Putre","Rio Lluta","Rio Lluta Alto"
"41","01211006-5","Lluta DGA",-18.4103,-70.1692,292,"Región de Arica y Parinacota","Norte","Arica","Rio Lluta","Rio Lluta Bajo"
"42","01300004-2","Murmuntane DGA",-18.3519,-69.5519,3544,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Azapa Alto"
"43","01300005-0","Portezuelo chapiquina DGA",-18.3272,-69.4661,4377,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"44","01300006-9","Central chapiquina DGA",-18.3722,-69.5481,3374,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Azapa Alto"
"45","01300007-7","Belen DGA",-18.4669,-69.5167,3247,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Azapa Alto"
"46","01300008-5","Tignamar DGA",-18.5811,-69.4939,3232,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Azapa Alto"
"47","01300009-3","Rio ticnamar en angostura DGA",-18.5133,-69.5656,3008,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Azapa Alto"
"48","01300010-7","Copaquilla DGA",-18.39,-69.63,2900,"Región de Arica y Parinacota","Norte","Putre","Rio San Jose","Quebrada Azapa Alta (R Seco, Tignamar Q Chusmiza)"
"49","01310018-7","Arica oficina DGA",-18.4775,-70.3208,22,"Región de Arica y Parinacota","Norte","Arica","Rio San Jose","Rio San Jose"
"50","01310019-5","Azapa DGA",-18.5156,-70.1806,266,"Región de Arica y Parinacota","Norte","Arica","Rio San Jose","Rio San Jose"
"51","01310021-7","U del norte DGA",-18.4833,-70.2936,56,"Región de Arica y Parinacota","Norte","Arica","Rio San Jose","Rio San Jose"
"52","01310022-5","El buitre aerodromo DGA",-18.5119,-70.2842,111,"Región de Arica y Parinacota","Norte","Arica","Rio San Jose","Rio San Jose"
"53","01410011-3","Chaca DGA",-18.8169,-70.15,346,"Región de Arica y Parinacota","Norte","Arica","Costeras R. San Jose-Q.Camarones","Quebrada Vitor"
"54","01410012-1","Codpa DGA",-18.8322,-69.7439,1869,"Región de Arica y Parinacota","Norte","Camarones","Costeras R. San Jose-Q.Camarones","Quebrada Vitor"
"55","01410013-K","Umirpa DGA",-18.75,-69.41,3920,"Región de Arica y Parinacota","Norte","Putre","Costeras R.San Jose-Q.Camarones","Quebrada Vitor"
"56","01501001-0","Caritaya embalse DGA",-19.0247,-69.3361,3650,"Región de Arica y Parinacota","Norte","Camarones","Q. Rio Camarones","Rio Camarones Antes Junta Quebrada de Chiza"
"57","01502006-7","Cuya DGA",-19.1117,-70.1269,201,"Región de Arica y Parinacota","Norte","Camarones","Q. Rio Camarones","Rio Camarones Antes Junta Quebrada de Chiza"
"58","01502007-5","Esquina DGA",-18.9417,-69.5328,2005,"Región de Arica y Parinacota","Norte","Camarones","Q. Rio Camarones","Rio Camarones Antes Junta Quebrada de Chiza"
"59","01502008-3","Rio camarones en chilpe DGA",-18.9431,-69.6197,1560,"Región de Arica y Parinacota","Norte","Camarones","Q. Rio Camarones","Rio Camarones Antes Junta Quebrada de Chiza"
"60","01502009-1","Meteorologica de camarones DGA",-19.01,-69.86,728,"Región de Arica y Parinacota","Norte","Camarones","Q. Rio Camarones","Rio Camarones Antes Junta Quebrada de Chiza"
"61","01610003-K","Pumire DGA",-19.0953,-69.1108,4155,"Región de Tarapacá","Norte","Colchane","Costeras R.Camarones-Pampa del Tamarugal","Quebrada de Camiña"
"62","01610004-8","Q camina 3 km a arriba de tarcavire DGA",-19.1181,-69.2447,3858,"Región de Tarapacá","Norte","Colchane","Costeras R.Camarones-Pampa del Tamarugal","Quebrada de Camiña"
"63","01611001-9","Camina DGA",-19.3136,-69.4172,2436,"Región de Tarapacá","Norte","Camiña","Costeras R.Camarones-Pampa del Tamarugal","Quebrada de Camiña"
"64","01611002-7","Apamilca camina DGA",-19.2967,-69.3867,2615,"Región de Tarapacá","Norte","Camiña","Costeras R.Camarones-Pampa del Tamarugal","Quebrada de Camiña"
"65","01700008-K","Esmeralda DGA",-20.4842,-69.3814,1118,"Región de Tarapacá","Norte","Pica","Pampa del Tamarugal","Pampa del Tamarugal"
"66","01700009-8","Coposa DGA",-20.7086,-68.6942,3760,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar de Coposa"
"67","01700010-1","Huara en fuerte baquedano DGA",-20.1308,-69.7497,1068,"Región de Tarapacá","Norte","Pozo Almonte","Pampa del Tamarugal","Pampa del Tamarugal"
"68","01720004-6","Puchultiza DGA",-19.4136,-68.9422,4363,"Región de Tarapacá","Norte","Colchane","Pampa del Tamarugal","Quebrada de Aroma"
"69","01720006-2","Chiapa DGA",-19.5369,-69.205,3149,"Región de Tarapacá","Norte","Huara","Pampa del Tamarugal","Quebrada de Aroma"
"70","01730007-5","Q tarapaca en sibaya DGA",-19.7831,-69.1433,2831,"Región de Tarapacá","Norte","Huara","Pampa del Tamarugal","Quebrada de Tarapaca"
"71","01730015-6","Pampa lirima dcp DGA",-19.7653,-68.8581,5070,"Región de Tarapacá","Norte","Pica","Pampa del Tamarugal","Quebrada de Tarapaca"
"72","01730016-4","Pampa lirima DGA",-19.8472,-68.8544,4078,"Región de Tarapacá","Norte","Pica","Pampa del Tamarugal","Quebrada de Tarapaca"
"73","01730017-2","Poroma DGA",-19.8719,-69.1831,2886,"Región de Tarapacá","Norte","Huara","Pampa del Tamarugal","Quebrada de Tarapaca"
"74","01730018-0","Lagunillas pampa lirima DGA",-19.9333,-68.8369,4024,"Región de Tarapacá","Norte","Pica","Altiplanicas","Salar Del Huasco"
"75","01730019-9","Mocha DGA",-19.8097,-69.2731,2156,"Región de Tarapacá","Norte","Huara","Pampa del Tamarugal","Quebrada de Tarapaca"
"76","01730020-2","Chuzmiza DGA",-19.6831,-69.1833,3362,"Región de Tarapacá","Norte","Huara","Pampa del Tamarugal","Quebrada de Tarapaca"
"77","01740001-0","Parca DGA",-20.0122,-69.2033,2649,"Región de Tarapacá","Norte","Pozo Almonte","Pampa del Tamarugal","Quebrada de Quipisca"
"78","01740002-9","Cerro colorado DGA",-20.065,-69.2703,2524,"Región de Tarapacá","Norte","Pozo Almonte","Pampa del Tamarugal","Quebrada de Quipisca"
"79","01750002-3","Sagasca DGA",-20.2033,-69.3397,1822,"Región de Tarapacá","Norte","Pozo Almonte","Pampa del Tamarugal","Quebradas Juan Morales, Sagasca  y El Tambillo"
"80","01750003-1","Mamina DGA",-20.0756,-69.2147,2725,"Región de Tarapacá","Norte","Pozo Almonte","Pampa del Tamarugal","Quebradas Juan Morales, Sagasca  y El Tambillo"
"81","01770001-4","Copaquire DGA",-20.9303,-68.8922,3505,"Región de Tarapacá","Norte","Pica","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"82","01770002-2","Quebrada caya DGA",-20.75,-68.93,3890,"Región de Tarapacá","Norte","Pica","Pampa del Tamarugal","Quebrada de Chacarilla"
"83","01820001-5","Iquique DGA",-20.2153,-70.1361,51,"Región de Tarapacá","Norte","Iquique","Costeras Tilviche-Loa","Pampas El Carmen y De La Union"
"84","02000001-5","Ollague DGA",-21.2233,-68.2494,3704,"Región de Antofagasta","Norte","Ollagüe","Fronterizas Salar Michincha-R.Loa","Salar De Ollague"
"85","02020001-4","Cebollar DGA",-21.5311,-68.3386,3727,"Región de Antofagasta","Norte","Ollagüe","Fronterizas Salar Michincha-R.Loa","Salar De Ascotan"
"86","02020002-2","Ascotan DGA",-21.7253,-68.2756,3966,"Región de Antofagasta","Norte","Ollagüe","Fronterizas Salar Michincha-R.Loa","Salar De Ascotan"
"87","02101001-4","Rio loa antes represa lequena DGA",-21.6558,-68.6622,3316,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"88","02101003-0","Lequena DGA",-21.6553,-68.6611,3324,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"89","02102005-2","Quinchamale DGA",-21.9053,-68.5964,3100,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"90","02103007-4","San pedro de conchi DGA",-21.9333,-68.5364,3255,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"91","02103008-2","Parshall n 2 DGA",-21.9428,-68.5175,3343,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"92","02103009-0","Ojos san pedro DGA",-21.9706,-68.3128,3802,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"93","02103010-4","Inacaliri DGA",-22.0278,-68.0661,4039,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"94","02103012-0","Silala DGA",-22.0139,-68.0289,4298,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"95","02103014-7","Rio siloli antes b t fcab DGA",-22.0103,-68.0269,4334,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"96","02104002-9","Rio loa en salida embalse conchi DGA",-22.0278,-68.6208,2951,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"97","02104007-K","Conchi viejo DGA",-21.95,-68.7239,3486,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"98","02104008-8","Conchi embalse DGA",-22.025,-68.6242,3005,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"99","02104009-6","Conchi muro embalse DGA",-22.0267,-68.6208,2961,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"100","02104010-K","Chiu chiu DGA",-22.3378,-68.6367,2523,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"101","02105001-6","Rio salado a j curti DGA",-22.2792,-68.2428,3083,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"102","02105002-4","Rio salado en sifon ayquina DGA",-22.2894,-68.3447,2958,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"103","02105014-8","Cupo DGA",-22.1147,-68.3167,3383,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"104","02105015-6","Turi DGA",-22.2408,-68.2881,3070,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"105","02105016-4","Linzor DGA",-22.2297,-68.0228,4105,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"106","02105017-2","Toconce DGA",-22.2592,-68.1733,3313,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"107","02105018-0","Ayquina DGA",-22.2753,-68.3183,3039,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"108","02105019-9","Sifon ayquina DGA",-22.2833,-68.3497,3007,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"109","02105020-2","Salado embalse DGA",-22.2856,-68.2028,3173,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"110","02105021-0","Caspana DGA",-22.3367,-68.2122,3246,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"111","02105022-9","El tatio DGA",-22.3711,-68.0133,4363,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"112","02105031-8","Amincha DGA",-21.2006,-68.3394,3855,"Región de Antofagasta","Norte","Ollagüe","Fronterizas Salar Michincha-R.Loa","Salar De Ollague"
"113","02105037-7","Hito silala DGA",-22.03,-68.04,4242,"Región de Antofagasta","Norte","Calama","Rio Loa","Rio Loa Alto (bajo junta Rio Salado)"
"114","02110013-7","Calama DGA",-22.4494,-68.9044,2308,"Región de Antofagasta","Norte","Calama","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"115","02111004-3","Tranque sloman DGA",-21.8506,-69.5139,989,"Región de Antofagasta","Norte","María Elena","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"116","02112008-1","Quillagua DGA",-21.6603,-69.5358,806,"Región de Antofagasta","Norte","María Elena","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"117","02112009-K","Coya sur DGA",-22.3939,-69.6225,1249,"Región de Antofagasta","Norte","María Elena","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"118","02113001-K","Rio huatacondo en copaquire DGA",-20.9333,-68.8833,3713,"Región de Tarapacá","Norte","Pica","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"119","02113005-2","Guatacondo DGA",-20.9272,-69.0456,2469,"Región de Tarapacá","Norte","Pozo Almonte","Rio Loa","Loa Medio (entre R.  Salado y Q. de Barrera)"
"120","02210002-5","Tocopilla DGA",-22.0797,-70.1897,56,"Región de Antofagasta","Norte","Tocopilla","Costeras R.Loa-Q.Caracoles","Costeras entre Q. Iquine y Q.Tocopilla (inclusive)"
"121","02210003-3","Quebrada barriles DGA",-22.08,-70.18,107,"Región de Antofagasta","Norte","Tocopilla","Costeras R.Loa-Q.Caracoles","Costeras entre Q. Iquine y Q. Tocopilla (incl.)"
"122","02240000-2","Liceo cientifico humanista la chimba DGA",-23.5544,-70.3933,1720,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Q. Chacaya y Q. Caracoles"
"123","02240001-0","Escuela fundacion minera escondida DGA",-23.6144,-70.3703,283,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Q. Chacaya y Q. Caracoles"
"124","02240002-9","Quebrada la chimba DGA",-23.56,-70.4,33,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Qs. Chacaya y Caracoles (incl.)"
"125","02240003-7","Quebrada bonilla DGA",-23.58,-70.37,112,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Qs. Chacaya y Caracoles (incl.)"
"126","02240004-5","Quebrada farellones DGA",-23.61,-70.37,185,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Qs. Chacaya y Caracoles (incl.)"
"127","02240005-3","Quebrada la cadena DGA",-23.63,-70.38,139,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Qs. Chacaya y Caracoles (incl.)"
"128","02300000-8","Paso jama DGA",-22.92,-67.7,4680,"Región de Antofagasta","Norte","San Pedro de Atacama","Fronterizas Salares Atacama-Socompa","Cajon"
"129","02450000-4","Paso sico DGA",-23.82,-67.44,4295,"Región de Antofagasta","Norte","San Pedro de Atacama","Endorreica Entre Fornterizas Y Salar Atacama","Laguna Tuyajto Chico y Salar de Laco"
"130","02500015-3","Toconao reten DGA",-23.1936,-68.0094,2464,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"131","02500016-1","Toconao experimental DGA",-23.1889,-67.9978,2520,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"132","02500017-K","Camar DGA",-23.4069,-67.9631,2705,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"133","02500019-6","Socaire DGA",-23.5869,-67.8925,3250,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"134","02500020-K","Peine DGA",-23.6842,-68.0581,2462,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"135","02500021-8","Talabre DGA",-23.3125,-67.8878,3257,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"136","02500025-0","Toconao quebrada 1 DGA",-23.21,-67.81,3979,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"137","02500026-9","Toconao quebrada 4 DGA",-23.15,-67.9,3465,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"138","02500027-7","Toconao pueblo DGA",-23.18,-68,2698,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"139","02500028-5","Guatin DGA",-22.76,-68.07,3155,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Salar de Atacama"
"140","02510006-9","San pedro de atacama DGA",-22.9053,-68.2003,2450,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Rio San Pedro"
"141","02510007-7","Rio grande DGA",-22.6522,-68.1658,3247,"Región de Antofagasta","Norte","San Pedro de Atacama","Salar de Atacama","Rio San Pedro"
"142","02640001-5","Imilac DGA",-24.1631,-68.7828,2972,"Región de Antofagasta","Norte","Antofagasta","Endorreicas Salar Atacama-Vertiente Pacifico","Salar Punta Negra"
"143","02650002-8","Quebrada guanaqueros DGA",-24.44,-68.55,4029,"Región de Antofagasta","Norte","San Pedro de Atacama","Endorreicas Salar Atacama-Vertiente Pacifico","Salar Punta Negra"
"144","02660001-4","Monturaqui DGA",-24.3414,-68.4353,3434,"Región de Antofagasta","Norte","Antofagasta","Endorreicas Salar Atacama-Vertiente Pacifico","Pampa de Socompa"
"145","02700001-0","Sierra gorda DGA",-22.8892,-69.3219,1623,"Región de Antofagasta","Norte","Sierra Gorda","Quebrada Caracoles","Quebrada Caracoles bajo junta Quebrada El Buitre"
"146","02710002-3","Baquedano DGA",-23.3336,-69.8397,1031,"Región de Antofagasta","Norte","Sierra Gorda","Quebrada Caracoles","Q. Caracoles entre Quebrada El Buitre y  Salar del Carmen"
"147","02710003-1","Antofagasta DGA",-23.5975,-70.3867,46,"Región de Antofagasta","Norte","Antofagasta","Costeras R.Loa-Q.Caracoles","Costeras entre Q. Chacaya y Q. Caracoles"
"148","02760000-K","Quebrada el toro DGA",-23.67,-70.4,89,"Región de Antofagasta","Norte","Antofagasta","Quebrada Caracoles","Q Caracoles entre S Navidad, S del Carmen y Desemb"
"149","02810001-9","Cachinal de la sierra DGA",-24.9611,-69.52,2643,"Región de Antofagasta","Norte","Taltal","Quebrada la Negra","Quebrada Grande"
"150","02900000-K","Universidad de antofagasta DGA",-23.7017,-70.4208,29,"Región de Antofagasta","Norte","Antofagasta","Quebrada la Negra","Q. La Negra (de Mateo) entre Q. Grande y desembocadura"
"151","02900001-8","Quebrada jardines del sur DGA",-23.7,-70.42,26,"Región de Antofagasta","Norte","Antofagasta","Qs.Entre Q. La Negra Y Q. Pan De Azucar","Quebradas entre Quebrada La Negra y Q. de Remedios"
"152","02941001-1","Vaquillas DGA",-25.3958,-69.2986,3255,"Región de Antofagasta","Norte","Taltal","Costeras entre Q. la Negra y Q. Pan de Azucar","Quebrada de Taltal"
"153","02942001-7","Aguas verdes DGA",-25.4,-69.9633,1558,"Región de Antofagasta","Norte","Taltal","Costeras entre Q. la Negra y Q. Pan de Azucar","Quebrada de Taltal"
"154","02943001-2","Tal tal DGA",-25.4047,-70.4819,26,"Región de Antofagasta","Norte","Taltal","Costeras entre Q. la Negra y Q. Pan de Azucar","Quebrada de Taltal"
"155","02943002-0","Tal tal dcp DGA",-25.4033,-70.4797,32,"Región de Antofagasta","Norte","Taltal","Costeras entre Q. la Negra y Q. Pan de Azucar","Quebrada de Taltal"
"156","02943003-9","Quebrada taltal DGA",-25.4,-70.48,90,"Región de Antofagasta","Norte","Taltal","Qs.Entre Q. La Negra Y Q. Pan De Azucar","Quebrada de Taltal"
"157","02960001-5","Sierra overa DGA",-25.78,-69.8881,1941,"Región de Antofagasta","Norte","Taltal","Costeras entre Q. la Negra y Q. Pan de Azucar","Quebrada de La Cachina"
"158","03023000-0","Salar de pedernales DGA",-26.35,-69.18,3395,"Región de Atacama","Norte","Diego de Almagro","Endorreicas Entre Frontera Y Vertiente","Salar de Pedernales"
"159","03210001-5","Las vegas DGA",-26.6781,-69.6656,2260,"Región de Atacama","Norte","Diego de Almagro","Rio Salado","Quebrada Del Chanaral"
"160","03340001-2","Caldera DGA",-27.0692,-70.8156,25,"Región de Atacama","Norte","Caldera","Costeras e Islas R.Salado-R.Copiapo","Costeras entre Quebrada del Morado y Rio Copiapo"
"161","03404002-8","Jorquera en la guardia DGA",-27.8364,-69.755,2005,"Región de Atacama","Norte","Tierra Amarilla","Rio Copiapo","Rio Jorquera"
"162","03412001-3","Torin en el potro DGA",-28.2767,-69.7481,2767,"Región de Atacama","Norte","Tierra Amarilla","Rio Copiapo","Rio Pulido"
"163","03414001-4","Rio pulido en vertedero DGA",-28.0858,-69.9408,1326,"Región de Atacama","Norte","Tierra Amarilla","Rio Copiapo","Rio Pulido"
"164","03414002-2","Iglesia colorada DGA",-28.1572,-69.8808,1548,"Región de Atacama","Norte","Tierra Amarilla","Rio Copiapo","Rio Pulido"
"165","03421004-7","Manflas hacienda DGA",-28.12583333,-69.97361111,1410,"Región de Atacama","Norte","Tierra Amarilla","Rio Copiapo","Rio Manflas"
